,owner_id,owner,location,pilot_parcel_no,underlying_parcel_number,begin_date,end_date,assmt_taxes,pilot_contract_amt,pilot_debt_service_amt,difference
0,47549848842c,fedex supplychain system inc,9 fedex,['IDB0001C000000'],['C0243000004060'],2019-01-13,2039-01-13 00:00:00,221113.0,48928.0,54770.0,-117416.0
1,47549848842c,fedex supplychain system inc,9 fedex,['IDB0006C000000'],['C0243000004050'],2019-01-13,2039-01-13 00:00:00,1497979.0,358752.0,374495.0,-764732.0
2,8a9611150e92,shelby group international inc,1255 schilling,['IDB0000C000140'],['C024400A006570'],2013-12-31,2024-12-31 00:00:00,99361.0,7601.0,24840.0,-66920.0
3,8a9611150e92,shelby group international inc,1255 schilling,['IDB0000C00015A'],['5000150000000D'],2013-12-31,2024-12-31 00:00:00,7261.0,0.0,1815.0,-5446.0
4,ccc41295a670,ws hchem llc,0 winchester,['IDB0000C000160'],['C024400A006820'],2016-06-01,2023-06-01 00:00:00,129117.0,129117.0,0.0,0.0
5,77ebab57142d,orgill inc,4100 houston levee,['IDB0000C00017A'],['5000160000000D'],2017-12-31,2032-12-31 00:00:00,14628.0,0.0,3657.0,-10971.0
6,77ebab57142d,orgill inc,4100 houston levee,['IDB0000C000180'],['C0243000006050'],2017-12-31,2032-12-31 00:00:00,244570.0,15640.0,61142.0,-167787.0
7,1804cb03e0ba,mob llc,160 schilling,['IDB0000C000200'],['C024400A004390'],2019-12-31,2029-12-31 00:00:00,126135.0,35017.0,24281.0,-66837.0
8,69d6d70bd6a3,rush it llc,0 bailey station,['IDB0000C000230'],['C0243000003150'],2020-02-01,2035-02-01 00:00:00,1013298.0,66582.0,253325.0,-693392.0
9,92116c88570a,mueller industries inc,150 schilling,['IDB0000C0017A2'],['5000170000000D'],2018-12-31,2038-12-31 00:00:00,12788.0,0.0,3197.0,-9591.0
10,e662249a4644,ccl label inc,720 progress,['IDB0000C000210'],['C0245000003540'],2018-01-01,2026-12-31 00:00:00,135647.0,12847.0,47477.0,-75324.0
11,72bfe4def2c6,imc companies llc,1305 schilling,['IDB0000C000240'],['C02440A0007430'],2021-12-31,2031-12-31 00:00:00,21117.0,15838.0,65885.0,60606.0
