,owner_id,owner,location,pilot_parcel_no,underlying_parcel_number,begin_date,end_date,assmt_taxes,pilot_contract_amt,pilot_debt_service_amt,difference
0,4d492ee75e30,1 south main llc wilmont hotel limited partnership,79 madison,['ICC03900000000'],"['00203800000020', ' 00203800000030', ' 00203800000060', ' 00203800000070']",2000-08-02,2024-08-02 00:00:00,240731.0,180548.0,0.0,-60183.0
1,468725c9628c,100 south main partners,100 main,['ICC07260000000'],"['0020530B000010', ' 0020530B000030']",2008-12-23,2023-12-23 00:00:00,112054.0,3070.0,27246.0,-81738.0
2,b39884512460,1030 poplar llc,1030 poplar,['ICC07900000000'],['0200900000007C'],2021-06-15,2034-06-15 00:00:00,6722.0,6722.0,0.0,0.0
3,f26dc5a380c1,109 south second partnership,109 second,['ICC07380000000'],['205300000130'],2011-04-07,2024-04-07 00:00:00,79863.0,3486.0,19094.0,-57283.0
4,129ab94e175b,115 union ave llc,115 union,['ICC07330000000'],['205300000020'],2011-03-29,2021-03-29 00:00:00,29104.0,29104.0,0.0,0.0
5,ac4da4d1c3c4,1544 madison partners,1544 madison,['IDB18010000000'],"['0170310000012C', ' 01703100000300']",2019-11-01,2036-10-31 00:00:00,11887.0,15319.0,0.0,3432.0
6,065273f079b2,158 vance llc,158 vance,['ICC07620000000'],"['0021300000009C', ' 0021300000011C']",2017-12-07,2024-12-06 00:00:00,34304.0,10411.0,5973.0,-17920.0
7,f9631c725774,18 s main mem llc,18 main,['ICC07670000000'],['205700000060'],2019-06-14,2030-12-14 00:00:00,7204.0,3885.0,830.0,-2490.0
8,a91c364d5ca6,189 barksdale llc,189 s barksdale st,['ICC08030000000'],['1605100000060'],2021-04-29,2033-04-29 00:00:00,3570.0,3570.0,0.0,0.0
9,8f3ca4e15b65,195 madison avenue llc,195 madison,['ICC07450000000'],['206000000030'],2013-12-19,2028-12-23 00:00:00,76408.0,3591.0,18204.0,-54613.0
10,51898eb27d45,245 front street hotel company llc,245 s front st,['ICC08060000000'],['209900000010'],2022-12-01,2039-07-02 00:00:00,6125.0,1048.0,0.0,-5077.0
11,ad9ce4e904a7,2615 summer ave llc dba stone solution,2615 summer ave,['IDB1823A000000'],['1823000000000'],2021-01-01,2025-12-31 00:00:00,0.0,0.0,2491.0,2491.0
12,561a359fe604,266 lofts llc,276 front,['ICC07740000000'],['210100000180'],2017-09-26,2026-09-22 00:00:00,107491.0,5564.0,25482.0,-76445.0
13,1b4312df0cad,33 beale street hotel company llc icc0769,0 wagner pl,['ICC07690000000'],"['0020990000002C', ' 00209900000080']",2019-07-02,2039-07-02 00:00:00,200745.0,10917.0,48988.0,-140840.0
14,5b697ebea493,495 tennessee llc,11 mina,['ICC07660000000'],"['00209200000290', ' 00208300000190', ' 00209200000300', ' 00209200000290']",2016-03-08,2036-03-08 00:00:00,403064.0,9735.0,98332.0,-294997.0
15,c50cd24907e6,495 tn partners,11 tennessee,['ICC07630000000'],['209200000310'],2018-07-16,2036-03-08 00:00:00,240021.0,5147.0,58719.0,-176156.0
16,ec0d4ba08787,555 ledic management group llc,6111 ridgeway,['IHE0005C000000'],"['09340000002540', ' 09340000002550']",2018-10-01,2028-09-30 00:00:00,193319.0,63746.0,0.0,-129574.0
17,f7aee33cf5f8,66 south main lp,66 main,['ICC07210000000'],['205600000100'],2007-07-31,2022-07-31 00:00:00,9207.0,664.0,1171.0,-7372.0
18,811ef8806200,7v devco llc,7 vance ave,['ICC08040000000'],['0020750000001C'],2021-10-27,2041-04-27 00:00:00,6836.0,7947.0,0.0,1112.0
19,1af5b6479ac0,9 so 2nd properties llc,21 second,['ICC03940000000'],['0020580000014C'],1998-02-17,2034-02-17 00:00:00,54201.0,7510.0,0.0,-46691.0
20,195e9f87e0c5,949 ridgeway investments llc,949 shady grove,['IDB17010000000'],['8002400000250'],2018-11-01,2032-11-01 00:00:00,401433.0,248595.0,43656.0,-109182.0
21,c6b4238b8beb,99 105 front street llc,99 s front st,['ICC08000000000'],['0020410000009C'],2020-09-30,2039-09-30 00:00:00,17628.0,18502.0,443.0,1316.0
22,f348c1cf1add,999 cooper street partners llc,999 cooper,['ICC07760000000'],['3112000000100'],2017-12-18,2025-12-31 00:00:00,35122.0,1074.0,8512.0,-25536.0
23,b52b3c59e0ed,ab mauri foods inc,2743 riverport,['IDB1010A000000'],['0010100000000D'],2015-12-31,2023-12-31 00:00:00,33508.0,100.0,13403.0,-20005.0
24,b52b3c59e0ed,ab mauri foods inc,2743 riverport,['IDB0955A000000'],['0009550000000D'],2014-12-31,2022-12-31 00:00:00,2800.0,100.0,1120.0,-1580.0
25,9a4e8d017b1a,abington parkview,4616 scott crossing,['IHE0003H000000'],['8803200000080'],2012-05-12,2032-05-14 00:00:00,125617.0,25425.0,0.0,-100192.0
26,7c913700adc9,advantage way llc,3689 james rd,['IHE0003X000000'],['0830210000051C'],2013-06-30,2023-10-23 00:00:00,141169.0,25086.0,0.0,-116083.0
27,56c594d36bc2,aesthetic management partners inc,9113 macon road,['IDB18370000000'],['D0215000004660'],2022-07-01,2034-06-30 00:00:00,33379.0,8261.0,2141.0,-22977.0
28,5b622a63ecad,agilent technologies inc,5050 holmes,['IDB1775A000000'],['0017500000000D'],2018-12-31,2028-12-31 00:00:00,14808.0,0.0,3702.0,-11106.0
29,0de0e939949e,alco eastern creek partners l p,3215 johnson,['IHE0005G000000'],"['0440210000001C', ' 04402100000030', ' 04402100000040', ' 04402100000050', ' 04402100000060', ' 04402100000070', ' 04402100000080', ' 0440220000001C', ' 04402300000010', ' 04402300000020', ' 04402300000030', ' 04402300000040', ' 08803200001240', '']",2016-12-31,2026-12-31 00:00:00,95043.0,21589.0,0.0,-73455.0
30,bb13afe362fd,alco management,1800 robinhood,['IHE0006J000000'],['5809400000000'],2020-07-01,2040-06-30 00:00:00,33222.0,8461.0,0.0,-24761.0
31,3051dba8d7a7,alco management inc,2923 mimosa,['IHE0005I000000'],"['03701100000350', ' 03701100000370']",2020-01-01,2039-12-31 00:00:00,74702.0,33609.0,0.0,-41093.0
32,48e5647abbf0,alco northside partners lp,1541 northside dr,['IHE0003E000000'],['6906500000830'],2011-11-30,2031-12-31 00:00:00,40567.0,7458.0,0.0,-33109.0
33,ef79e221c568,alco pershing partners lp,0 steele,['IHE0000B000000'],"['07101400000950', ' 07101400000960']",2008-08-01,2028-12-31 00:00:00,40315.0,14754.0,0.0,-25562.0
34,996aad2e70ee,alco presidential partners lp,5393 hudgins,['IHE0003P000000'],['7914000000240'],2012-11-01,2022-12-31 00:00:00,53170.0,17140.0,0.0,-36030.0
35,aef9d2e25848,alco rolling hills partners,2830 n watkins,['IHE0001X000000'],['070080000057C'],2006-11-01,2026-12-31 00:00:00,36493.0,20894.0,0.0,-15598.0
36,fe365c42b50b,alco saints court partners lp,994 n watkins,['IHE0002S000000'],"['04003100000010', ' 04003200000010']",2010-12-15,2031-12-31 00:00:00,50252.0,16607.0,0.0,-33645.0
37,3ca87133a4f9,alpha 266 properties llc,266 front,['ICC07560000000'],"['0021010000016C', ' 00210100000170', ' 00210100000180']",2016-09-22,2026-03-22 00:00:00,108145.0,4871.0,25818.0,-77455.0
38,78574db4e795,alpha front st proerties printer s alley llc,347 front,['ICC07400000000'],['0020960000003C'],2012-08-07,2022-08-07 00:00:00,34672.0,13869.0,7893.0,-12910.0
39,65793c10abc9,alpha omega veterans services inc,1465 court,['IMC00000000100'],['0170220000007C'],2012-08-10,End of Loan,21776.0,1920.0,0.0,-19856.0
40,7e23b7e9fdf7,alphatec spine,1950 camino vida rable aly,['IDB18510000000'],['7410100000290'],2022-01-01,2032-12-31 00:00:00,37356.0,2617.0,5448.0,-29292.0
41,fb8af707a0c0,american home shield corp,150 peabody,['IDB1755A000000'],['0017550000000D'],2018-12-31,2033-12-31 00:00:00,10785.0,0.0,2696.0,-8089.0
42,4b885413c4b2,ampro industries inc,4171 steele st,['IDB1761A000000'],['0017610000000D'],2021-01-01,2024-12-31 00:00:00,52127.0,0.0,13032.0,-39096.0
43,ce1971b08202,annex lofts llc,345 front st,['ICC07510000000'],['209600000020'],2014-05-30,2023-11-30 00:00:00,27685.0,3884.0,5950.0,-17851.0
44,fe50ebe8a3cc,apartments at lapaloma ltd,0 parkway,['IPH0000F000000'],['0310940000003C'],1998-12-01,2029-12-01 00:00:00,28646.0,3513.0,0.0,-25133.0
45,6490986a08d8,app breezy partners l l l p,1500 oberle ave,['IHE0007N000000'],['070037000041C'],2022-09-01,2042-08-31 00:00:00,55026.0,9196.0,0.0,-45830.0
46,b6795c381e2c,apple nine hospitality hampton inn,175 peabody,['ICC03190000000'],"['00205100000190', ' 00205100000290']",1998-12-31,2038-12-31 00:00:00,188923.0,3071.0,0.0,-185852.0
47,e1e45623df3f,applewood property management,5294 cottonwood rd,['IHE0007D000000'],"['06205600001620', ' 06205600001640', ' 0620560000165C', ' 06205600001670']",2021-04-15,2041-04-14 00:00:00,84380.0,33545.0,0.0,-50835.0
48,88761ff90310,april woods ii property,281 bickford avenue,['IHE0002B000000'],"['02202800000020', ' 0220280000003C', ' 02202800000120', ' 02202800000200', ' 0601690A00001C', ' 0601690A000090', '']",2008-01-03,2028-01-01 00:00:00,83299.0,4996.0,0.0,-78304.0
49,35cee94aed6f,aquaserve,61 keel ave,['ICC07960000000'],['105200000010'],2021-03-05,2034-03-05 00:00:00,10143.0,3763.0,1595.0,-4785.0
50,195db93ba431,ashton hills mf blue valley apartments llc,4813 troost drive,['IHE0005J000000'],['9003200000180'],2020-08-05,2040-05-31 00:00:00,46103.0,7465.0,0.0,-38638.0
51,3de41c3bdd01,autozone,123 front,['IDB1822A000001'],['179800000000'],2021-01-01,2035-12-31 00:00:00,0.0,0.0,4729.0,4729.0
52,896f604494cb,autozone inc,123 front,['ICC01050000000'],['0020440000004C'],1993-09-01,2033-09-01 00:00:00,345857.0,12885.0,0.0,-332973.0
53,896f604494cb,autozone inc,1585 elvis presley,['IDB1790A000000'],['0017900000000D'],2019-12-31,2034-12-31 00:00:00,19438.0,0.0,4859.0,-14578.0
54,9c5a7048457b,autozone part inc,100 104 110 123 s front st,['IDB1843A000000'],"['00204200000210', '00204200000200', '00204200 000190', '0020440000004C']",2021-12-31,2036-12-31 00:00:00,440950.0,0.0,13413.0,-427536.0
55,6073e3c75bf3,autozone parts,100 front,['IDB18240000000'],"['00204200000210', '00204200000200', ' 00204200000190']",2021-02-01,2024-12-31 00:00:00,95092.0,19074.0,21567.0,-54451.0
56,39f870a29158,a z lrc 1 llc,7625 appling center drive,['IDB18360000000'],['9200500000530'],2022-01-01,2032-01-01 00:00:00,105128.0,56319.0,12202.0,-36607.0
57,c51e775de2cc,bantam airways one stop housing llc,2949 airways blvd,['IHE0006Q000000'],['7302200003580'],2021-06-01,2031-05-31 00:00:00,12251.0,6126.0,0.0,-6126.0
58,1a4c210f02db,bantam springbrook one stop housing llc,1360 springbrook,['IHE0006R000000'],['602200002360'],2021-06-01,2031-05-31 00:00:00,29008.0,14504.0,0.0,-14504.0
59,ef673d08f619,barrett distribution centers llc,6100 holmes,['IDB1715A000000'],['0017150000000D'],2018-06-04,2020-06-04 00:00:00,84462.0,0.0,21115.0,-63346.0
60,74241be1ef2f,bearman golden gardens inc,4755 neely,['IMC00000000020'],['7608900000760'],2009-11-20,End of Loan,41933.0,3300.0,0.0,-38633.0
61,046bf2b66dc3,belz harbour llc,1835 union,['ICC07770000000'],"['01604300000200', ' 01604300000210']",2017-12-28,2032-12-28 00:00:00,350827.0,26260.0,81142.0,-243425.0
62,7d861ba102d2,big box 5140 memphis oaks llc,4010 holmes,['IDB16000000000'],"['09410000001790', ' 09410000001800']",2018-04-30,2033-04-30 00:00:00,465553.0,18833.0,111662.0,-335057.0
63,a14dcd26559b,big box property owner c llc,3955 holmes,['IDB17950000000'],"['09410000001530', ' 09410000001550']",2019-12-31,2029-12-31 00:00:00,651966.0,519726.0,33491.0,-98750.0
64,688b241ca719,binghampton gateway llc,516 tillman,['IDB17660000000'],"['03704200000460', ' 03704200000470']",2017-12-31,2032-12-31 00:00:00,68763.0,908.0,17191.0,-50664.0
65,caf7282e7b12,blue suede properties llc icc0778,400 s main st,['ICC07780000000'],['0021100B00001C'],2020-07-30,2035-07-30 00:00:00,29865.0,24891.0,1243.0,-3730.0
66,0927121237fd,blues city brewery llc,5151 raines,['IDB08690000000'],['9340000006280'],2011-05-02,2026-05-02 00:00:00,248294.0,20640.0,62074.0,-165581.0
67,0927121237fd,blues city brewery llc,5151 raines,['IDB0879A000000'],['0008790000000D'],2011-05-02,2026-05-02 00:00:00,0.0,100.0,24734.0,24834.0
68,0927121237fd,blues city brewery llc,5151 raines,['IDB0892A000000'],['0008920000000D'],2012-12-31,2027-12-31 00:00:00,837.0,100.0,209.0,-528.0
