,owner_id,owner,location,pilot_parcel_no,underlying_parcel_number,begin_date,end_date,assmt_taxes,pilot_contract_amt,pilot_debt_service_amt,difference
0,54b4d5c12241,riverbluff cooperative,333 tennessee,['ICC00110000000'],['0020740000002C'],1981-11-30,2080-11-30 00:00:00,162735.0,101709.0,0.0,-61026.0
1,7a21a11b110c,cotton exchange bldg a limited partnership,65 union,['ICC00270000000'],['204200000290'],1983-12-01,2024-01-01 00:00:00,57526.0,7320.0,0.0,-50206.0
2,6ddf11772c54,three sisters ltd,61 main,['ICC00290000000'],"['00203900000140', ' 00203900000150', ' 00203900000160']",1983-12-23,2025-12-30 00:00:00,62878.0,15029.0,0.0,-47849.0
3,4e595a78a7c4,raymond james tower morgan keegan,50 front,['ICC00410000000'],['200600000240'],1984-12-27,2024-12-27 00:00:00,162720.0,6113.0,0.0,-156607.0
4,57dce25d5f20,main monroe hospitality 2018 memphis hotel propco llc,110 monroe,['ICC00450000000'],['205700000090'],1984-12-31,2025-12-31 00:00:00,115157.0,2691.0,0.0,-112466.0
5,bb46d4c2fcff,suna winchester building llc,179 madison,['ICC00470000000'],"['00206000000010', ' 0020600000001Z']",1984-12-28,2024-12-28 00:00:00,63695.0,2215.0,0.0,-61480.0
6,4f2bcdd0f2b3,olymbec usa sanderlin place,80 monroe,['ICC00480000000'],"['0020380000008C', ' 0020380000011C']",1984-12-31,2024-12-31 00:00:00,113185.0,11528.0,0.0,-101657.0
7,372de50563c7,memphis 99 parking garage lp,99 main,['ICC00500000000'],['200700000080'],1985-07-25,2025-07-24 00:00:00,58701.0,30240.0,0.0,-28461.0
8,896f604494cb,autozone inc,123 front,['ICC01050000000'],['0020440000004C'],1993-09-01,2033-09-01 00:00:00,345857.0,12885.0,0.0,-332973.0
9,f990598fbb5e,gayoso house lp,141 main,['ICC01130000000'],"['00204300000040', ' 00204300000100']",1993-12-21,2023-12-21 00:00:00,106286.0,1124.0,0.0,-105162.0
10,b825b3c8a5a4,pinch partners investment co,326 main r,['ICC01140000000'],['102700000110'],1994-03-21,2019-03-21 00:00:00,2937.0,2034.0,0.0,-903.0
11,f1e1f4d9e494,island properties associates,715 harbor bend,['ICC02100000000'],['100100000550'],1997-10-27,2028-10-27 00:00:00,22374.0,1775.0,0.0,-20599.0
12,6127a1b22964,hotel peabody ltd,149 union,['ICC02120000000'],"['0020510A000010', ' 0020510A000020', ' 0020510A000030', ' 0020510A000040', '']",1997-12-31,2037-12-31 00:00:00,1353185.0,366471.0,0.0,-986714.0
13,5fd8d087aa22,gateway apartments lp,1045 jefferson,['ICC02130000000'],['0180620000004C'],1997-12-31,2022-12-31 00:00:00,24451.0,4339.0,0.0,-20112.0
14,cf5aebdf718e,mark s grawemeyer and leslie e smith,530 main,['ICC02140000000'],['211400000170'],1997-12-31,2022-12-31 00:00:00,3427.0,496.0,0.0,-2930.0
15,cf5aebdf718e,mark s grawemeyer and leslie e smith,522 main,['ICC02150000000'],['211400000140'],1997-12-31,2022-12-31 00:00:00,1330.0,548.0,0.0,-782.0
16,cf5aebdf718e,mark s grawemeyer and leslie e smith,524 main,['ICC02160000000'],['211400000180'],1997-12-31,2022-12-31 00:00:00,644.0,155.0,0.0,-490.0
17,cf5aebdf718e,mark s grawemeyer and leslie e smith,0 calhoun,['ICC02170000000'],['211400000160'],1997-12-31,2022-12-31 00:00:00,713.0,37.0,0.0,-677.0
18,cf5aebdf718e,mark s grawemeyer and leslie e smith,520 main,['ICC02180000000'],['211400000130'],1997-12-31,2022-12-31 00:00:00,2472.0,738.0,0.0,-1734.0
19,9eeb4449cf46,carl winfield robert lamb sullivan,107 madison,['ICC02190000000'],"['0020570A000010', ' 0020570A000020', ' 0020570A000030']",1997-12-31,2022-12-31 00:00:00,2522.0,427.0,0.0,-2095.0
20,1e16d3b52fff,philip woodard and terry woodard,509 main,['ICC02210000000'],['0021070000012C'],1997-12-31,2022-12-31 00:00:00,9119.0,814.0,0.0,-8306.0
21,3fdb130be93a,memory austin bishop union main holdings llc,77 main,['ICC02240000000'],['204200000050'],1997-12-31,2025-12-31 00:00:00,25464.0,1737.0,0.0,-23727.0
22,6739b6bd5646,island harbor corp,0 harbor town,['ICC02250000000'],"['00100100000610', ' 00100100000910', ' 00100100000920', ' 00100100000930', ' 00100100000940', ' 00100100000950', ' 0690770000013C', '']",1996-11-01,2021-11-01 00:00:00,451819.0,451819.0,0.0,0.0
23,8f514fe6939d,somera road gibson memphis llc,145 george w lee ave,['ICC02280000000'],['0021280000026C'],2019-07-26,2045-02-03 00:00:00,193772.0,74859.0,0.0,-118914.0
24,71c1f2ea9c35,hotel memphis,250 n main st,['ICC02290000000'],"['00102900000040', ' 00102900000050', ' 0010300000001L']",1998-04-14,2023-04-14 00:00:00,607721.0,135600.0,0.0,-472121.0
25,ab3d7fe3b8f5,peabody office tower,100 peabody,['ICC02390000000'],['0020500A000010'],1997-09-12,2034-08-18 00:00:00,161513.0,848.0,0.0,-160666.0
26,84496d6a1b36,peabody office tower lp,1 peabody,['ICC02400000000'],['0020500A000020'],1997-09-12,2034-08-18 00:00:00,18984.0,271.0,0.0,-18713.0
27,84496d6a1b36,peabody office tower lp,100 peabody,['ICC02410000000'],"['0020500A000010', ' 0020500A000030', ' 0020500A000050']",1997-09-12,2034-08-19 00:00:00,234725.0,24.0,0.0,-234701.0
28,bb45f8c57623,peabody place gold lp,123 main,['ICC02430000000'],"['00204300000010', ' 00204300000020', ' 00204300000030', ' 00204300000130']",1994-08-18,2034-08-18 00:00:00,157127.0,4296.0,0.0,-152831.0
29,7bfab3f25967,peabody place hav lp,151 main,['ICC02440000000'],['0020430000006C'],1994-12-03,2034-08-18 00:00:00,50610.0,831.0,0.0,-49779.0
30,600fe9de82e5,cp memphis llc,300 second,['ICC03020000000'],['103400000030'],1998-08-31,2031-08-31 00:00:00,135102.0,34578.0,0.0,-100524.0
31,b6795c381e2c,apple nine hospitality hampton inn,175 peabody,['ICC03190000000'],"['00205100000190', ' 00205100000290']",1998-12-31,2038-12-31 00:00:00,188923.0,3071.0,0.0,-185852.0
32,f33a46a8d276,thob llc,505 tennessee,['ICC03200000000'],['0020830D000010'],1999-05-06,2024-05-05 00:00:00,7645.0,7735.0,0.0,89.0
33,e3d5d15cdcac,ephraim m urevbu,410 main,['ICC03230000000'],['211700000080'],1998-08-31,2023-08-31 00:00:00,5157.0,868.0,0.0,-4288.0
34,cb1047db5144,moore building assoc lp,185 monroe,['ICC03250000000'],['0020630000001C'],1998-12-29,2028-12-31 00:00:00,171087.0,7797.0,0.0,-163290.0
35,8d3af8c71335,hertz memphis three llc,195 madison,['ICC03260000000'],['0020600000002C'],1998-12-29,2028-12-31 00:00:00,62678.0,5943.0,0.0,-56735.0
36,555134f646b4,memphis redbirds baseball,union third st,['ICC03800000000'],"['0020600000004C', '00206000000120', '00 50200000021C']",1998-12-01,2028-12-01 00:00:00,63449.0,0.04,nan,-63449.0
37,47d6e6981aed,knickerbocker properties,75 mud island access,['ICC03830000000'],['6907700000420'],2000-01-13,2040-01-13 00:00:00,523575.0,51.0,0.0,-523524.0
38,4b01e9c92881,fielders square forum residential partners,41 fourth,['ICC03850000000'],"['00206100000050', ' 0020610000006C', ' 00206100000240', ' 0050010000020C', ' 0050020000001C', '']",2000-05-17,2039-05-17 00:00:00,488471.0,33992.0,0.0,-454479.0
