,owner_id,owner,location,pilot_parcel_no,underlying_parcel_number,begin_date,end_date,assmt_taxes,pilot_contract_amt,pilot_debt_service_amt,difference
0,1381477d4a08,smith nephew inc,3303 holmes,['IDB07380000000'],['9410000003040'],2007-07-27,2022-12-31 00:00:00,189356.0,8783.0,47339.0,-133234.0
1,a865c500e56c,riviana foods inc,0 lauderdale st,['IDB07590000000'],"['0490650000001C', ' 04906700000010', ' 04900400000090', ' 0490040000009Z', '04900400000220', ' 0490650000001Z']",2007-12-28,2019-12-31 00:00:00,247301.0,215270.0,5811.0,-26219.0
2,1381477d4a08,smith nephew inc,1450 brooks,['IDB0760A000000'],['0007600000000D'],2007-12-31,2021-12-31 00:00:00,6214.0,100.0,1553.0,-4560.0
3,d6645cf714fb,nucor steel memphis inc,3601 paul r lowry,['IDB0794A000000'],['0007940000000D'],2008-12-31,2023-12-31 00:00:00,712998.0,100.0,178250.0,-534649.0
4,1381477d4a08,smith nephew inc,1450 brooks,['IDB0804A000000'],['0008040000000D'],2008-12-31,2023-12-31 00:00:00,26295.0,100.0,6574.0,-19621.0
5,1381477d4a08,smith nephew inc,1450 brooks,['IDB0832A000000'],['0008320000000D'],2009-12-31,2024-12-31 00:00:00,30565.0,100.0,7641.0,-22824.0
6,d6645cf714fb,nucor steel memphis inc,3601 paul r lowry,['IDB0833A000000'],['0008330000000D'],2009-12-31,2024-12-31 00:00:00,52153.0,100.0,13038.0,-39015.0
7,f6404ae6a51c,nike tn inc,3100 new frayser,['IDB0838A000000'],['0008380000000D'],2009-12-31,2023-12-31 00:00:00,22295.0,100.0,5574.0,-16621.0
8,9a0da30ab5f8,lucite international inc,7275 goodlett farms pkwy,['IDB0852A000000'],"['0005820000000D', ' 0008520000000D']",2010-12-16,2025-12-31 00:00:00,149.0,0.0,37.0,-112.0
9,9a0da30ab5f8,lucite international inc,2665 fite,['IDB0853A000000'],['0008530000000D'],2010-12-16,2025-12-31 00:00:00,16148.0,0.0,4037.0,-12111.0
10,fa05fc7da75a,pmc biogenix inc,1285 pope,['IDB0855A000000'],['0008550000000D'],2010-12-17,2022-12-17 00:00:00,11937.0,2870.0,2870.0,-6197.0
11,a865c500e56c,riviana foods inc,2314 lauderdale,['IDB0858A000000'],['0008580000000D'],2010-12-31,2022-12-31 00:00:00,42735.0,100.0,10684.0,-31952.0
12,a88c6b00d514,mckesson corporation,4836 southridge,['IDB0861A000000'],['0008610000000D'],2010-12-31,2022-12-31 00:00:00,1009.0,100.0,252.0,-657.0
13,1381477d4a08,smith nephew inc,7135 goodlett farms,['IDB08650000000'],['D020700000352C'],2010-12-31,2025-12-31 00:00:00,387116.0,37731.0,96779.0,-252607.0
14,6b707ae9a3c3,ktg usa lp,400 mahannah,['IDB08680000000'],['0390350000017C'],2011-08-16,2023-08-01 00:00:00,149069.0,106922.0,37267.0,-4880.0
15,0927121237fd,blues city brewery llc,5151 raines,['IDB08690000000'],['9340000006280'],2011-05-02,2026-05-02 00:00:00,248294.0,20640.0,62074.0,-165581.0
16,0927121237fd,blues city brewery llc,5151 raines,['IDB0879A000000'],['0008790000000D'],2011-05-02,2026-05-02 00:00:00,0.0,100.0,24734.0,24834.0
17,ad1db8ce8414,trane us inc,5200 tradeoirt,['IDB0882A000000'],['0008820000000D'],2012-12-31,2020-12-31 00:00:00,943.0,100.0,236.0,-607.0
18,67d9b17e1447,valero refining company tennessee llc,543 mallory,['IDB0885A000000'],['0008850000000D'],2012-12-31,2027-12-31 00:00:00,95565.0,100.0,23891.0,-71574.0
19,1381477d4a08,smith nephew inc,7135 goodletts farms,['IDB0888A000000'],['0008880000000D'],2012-12-31,2027-12-31 00:00:00,16673.0,200.0,4168.0,-12305.0
20,9a0da30ab5f8,lucite international inc,2665 fite,['IDB0890A000000'],['0008900000000D'],2012-12-31,2027-12-31 00:00:00,2522.0,0.0,631.0,-1892.0
21,9a0da30ab5f8,lucite international inc,2665 fite,['IDB08910000000'],['D0135000004380'],2012-01-01,2025-12-31 00:00:00,47383.0,38081.0,0.0,-9302.0
22,0927121237fd,blues city brewery llc,5151 raines,['IDB0892A000000'],['0008920000000D'],2012-12-31,2027-12-31 00:00:00,837.0,100.0,209.0,-528.0
23,2d4a90199816,us foods inc f k a us foodservice inc,5900 holmes,['IDB0893A000000'],['0008930000000D'],2012-12-31,2022-12-31 00:00:00,3206.0,100.0,801.0,-2304.0
24,733bc27d7e25,praxair inc,3587 paul r lowry rd,['IDB0894A000000'],['0008940000000D'],2012-12-31,2023-12-31 00:00:00,91364.0,100.0,22841.0,-68423.0
25,17b115df4129,logical systems llc,2756 appling center,['IDB08980000000'],"['09200500000130', ' 09200500000140']",2013-01-01,2022-12-31 00:00:00,39953.0,10253.0,9988.0,-19711.0
26,48e8ed513fd6,penn a kem llc,3324 chelsea,['IDB0900A000000'],['0009000000000D'],2011-12-31,2026-12-31 00:00:00,7382.0,100.0,1846.0,-5437.0
27,67d9b17e1447,valero refining company tennessee llc,543 mallory,['IDB0901A000000'],['0009010000000D'],2011-12-31,2026-12-31 00:00:00,204937.0,100.0,51234.0,-153603.0
28,6b707ae9a3c3,ktg usa lp,400 mahannah,['IDB0904A000000'],['0009040000000D'],2012-12-31,2027-12-31 00:00:00,396355.0,100.0,99089.0,-297167.0
29,fa05fc7da75a,pmc biogenix inc,1231 pope,['IDB0907A000000'],['0009070000000D'],2012-12-31,2024-12-31 00:00:00,162883.0,100.0,40721.0,-122062.0
30,03606461b667,mc ionic solutions us inc,2665 fite,['IDB0908A000000'],['0009080000000D'],2012-12-31,2026-12-31 00:00:00,36562.0,100.0,9141.0,-27322.0
31,f6404ae6a51c,nike tn inc,3100 new frayser,['IDB09120000000'],"['0900780000025C', ' 09007800000280', ' 09007800000290', ' 09007800000300']",2013-12-31,2028-12-31 00:00:00,1953681.0,22565.0,488420.0,-1442696.0
32,9a0da30ab5f8,lucite international inc,7275 goodlett farms,['IDB0917A000000'],['0009170000000D'],2013-12-31,2028-12-31 00:00:00,70.0,100.0,18.0,47.0
33,48e8ed513fd6,penn a kem llc,3324 chelsea,['IDB0920A000000'],['0009200000000D'],2013-12-31,2028-12-31 00:00:00,18858.0,100.0,4715.0,-14044.0
34,67d9b17e1447,valero refining company tennessee llc,543 mallory,['IDB0921A000000'],['0009210000000D'],2013-12-31,2028-12-31 00:00:00,100949.0,100.0,25237.0,-75612.0
35,d6645cf714fb,nucor steel memphis inc,3601 paul r lowry,['IDB0922A000000'],['0009220000000D'],2013-12-31,2028-12-31 00:00:00,30648.0,100.0,7662.0,-22886.0
36,f6404ae6a51c,nike tn inc,3100 new frayser,['IDB0924A000000'],['0009240000000D'],2013-12-31,2028-12-31 00:00:00,236.0,100.0,59.0,-77.0
37,03606461b667,mc ionic solutions us inc,2665 fite,['IDB0926A000000'],['0009260000000D'],2013-12-31,2027-12-31 00:00:00,374.0,100.0,94.0,-181.0
38,6b707ae9a3c3,ktg usa lp,400 mahannah,['IDB0927A000000'],['0009270000000D'],2013-12-31,2028-12-31 00:00:00,122941.0,100.0,30735.0,-92106.0
39,9a0da30ab5f8,lucite international inc,2665 fite,['IDB0930A000000'],['0009300000000D'],2013-12-31,2028-12-31 00:00:00,23084.0,100.0,5771.0,-17213.0
40,e72a3fa66b2a,rbm cherry road partners,1029 cherry,['IDB09330000000'],"['05812600000270', ' 05812600000280']",2013-12-31,2028-12-31 00:00:00,280866.0,11640.0,70216.0,-199009.0
41,d436d1c9a0ff,wright medical technology inc,1023 cherry,['IDB0935A000000'],['0009350000000D'],2013-12-31,2028-12-31 00:00:00,5028.0,100.0,1257.0,-3671.0
42,e045aba7296f,bryce corporation,4505 lamar,['IDB0937A000000'],['0009370000000D'],2013-12-31,2025-01-01 00:00:00,6700.0,100.0,1675.0,-4925.0
