,owner_id,owner,location,pilot_parcel_no,underlying_parcel_number,begin_date,end_date,assmt_taxes,pilot_contract_amt,pilot_debt_service_amt,difference
0,7a1798f03c29,hillcrest memphis lp,4155 east wind dr 1,['IHE0000A000000'],['0790040000001C'],2008-10-01,2028-09-30 00:00:00,53193.0,16412.0,0.0,-36781.0
1,ef79e221c568,alco pershing partners lp,0 steele,['IHE0000B000000'],"['07101400000950', ' 07101400000960']",2008-08-01,2028-12-31 00:00:00,40315.0,14754.0,0.0,-25562.0
2,27185d035674,crockett park agnes place apartments,2645 davey drive,['IHE0001B000000'],"['0710560A00016C', ' 0710560A00046Z']",2005-05-01,2025-05-01 00:00:00,60985.0,187.0,0.0,-60797.0
3,3405072585e4,uptown village apartments lp,0 thomas,['IHE0001L000000'],"['0010960A000960', ' 0010960A000970']",2004-03-05,2024-03-04 00:00:00,48181.0,1984.0,0.0,-46197.0
4,0dedd00443cc,uptown senior housing development lp,669 third,['IHE0001R000000'],"['0010560000002C', ' 00105600000070']",2006-04-19,2026-04-18 00:00:00,41349.0,2175.0,0.0,-39174.0
5,a795c0065693,summti park tup i limited partnership,1791 raines,['IHE0001U000000'],['7901300000660'],2007-02-01,2026-12-31 00:00:00,94448.0,13986.0,0.0,-80462.0
6,aef9d2e25848,alco rolling hills partners,2830 n watkins,['IHE0001X000000'],['070080000057C'],2006-11-01,2026-12-31 00:00:00,36493.0,20894.0,0.0,-15598.0
7,06c5aa16e1cb,creekside meadowns alco greenbriar partners lp,1146 dellwood,['IHE0001Y000000'],['7000130000000'],2006-11-01,2026-12-31 00:00:00,63542.0,34251.0,0.0,-29291.0
8,88761ff90310,april woods ii property,281 bickford avenue,['IHE0002B000000'],"['02202800000020', ' 0220280000003C', ' 02202800000120', ' 02202800000200', ' 0601690A00001C', ' 0601690A000090', '']",2008-01-03,2028-01-01 00:00:00,83299.0,4996.0,0.0,-78304.0
9,1bb1fc967881,legends park east lp,1003 nabor,['IHE0002J000000'],"['05101700000030', ' 05101700000040', ' 05101700000050', ' 05101700000060', ' 05101700000070', ' 05101700000120', ' 05101700000140', ' 05101700000180', ' 05101700000190', ' 05101700000200', '']",2008-08-28,2028-08-27 00:00:00,401124.0,834.0,0.0,-400290.0
