Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
1 SOUTH MAIN LLC - WILMONT HOTEL LIMITED PARTNERSHIP,79 MADISON,ICC03900000000,"00203800000020, 00203800000030, 00203800000060, 00203800000070",08/02/2000,08/02/2024,"$240,731","$180,548",$0,"-$60,183"
100 SOUTH MAIN PARTNERS,100 MAIN,ICC07260000000,"0020530B000010, 0020530B000030",12/23/2008,12/23/2023,"$112,054","$3,070","$27,246","-$81,738"
1030 POPLAR LLC,1030 POPLAR,ICC07900000000,0200900000007C,06/15/2021,06/15/2034,"$6,722","$6,722",$0,$0
109 SOUTH SECOND PARTNERSHIP,109 SECOND,ICC07380000000,205300000130,04/07/2011,04/07/2024,"$79,863","$3,486","$19,094","-$57,283"
115 UNION AVE LLC,115 UNION,ICC07330000000,205300000020,03/29/2011,03/29/2021,"$29,104","$29,104",$0,$0
1544 MADISON PARTNERS,1544 MADISON,IDB18010000000,"0170310000012C, 01703100000300",11/01/2019,10/31/2036,"$11,887","$15,319",$0,"$3,432"
158 VANCE LLC,158 VANCE,ICC07620000000,"0021300000009C, 0021300000011C",12/07/2017,12/06/2024,"$34,304","$10,411","$5,973","-$17,920"
18 S MAIN MEM LLC,18 MAIN,ICC07670000000,205700000060,06/14/2019,12/14/2030,"$7,204","$3,885",$830,"-$2,490"
"189 Barksdale, LLC",189 S BARKSDALE ST,ICC08030000000,1605100000060,04/29/2021,04/29/2033,"$3,570","$3,570",$0,$0
"195 MADISON AVENUE, LLC",195 MADISON,ICC07450000000,206000000030,12/19/2013,12/23/2028,"$76,408","$3,591","$18,204","-$54,613"
"245 FRONT STREET HOTEL COMPANY, LLC",245 S FRONT ST,ICC08060000000,209900000010,12/01/2022,07/02/2039,"$6,125","$1,048",$0,"-$5,077"
2615 SUMMER AVE LLC/DBA STONE SOLUTION,2615 SUMMER AVE,IDB1823A000000,1823000000000,01/01/2021,12/31/2025,$0,$0,"$2,491","$2,491"
"266 LOFTS, LLC",276 FRONT,ICC07740000000,210100000180,09/26/2017,09/22/2026,"$107,491","$5,564","$25,482","-$76,445"
"33 Beale Street Hotel Company, LLC ICC0769",0 WAGNER PL,ICC07690000000,"0020990000002C, 00209900000080",07/02/2019,07/02/2039,"$200,745","$10,917","$48,988","-$140,840"
495 TENNESSEE LLC,11 MINA,ICC07660000000,"00209200000290, 00208300000190, 00209200000300, 00209200000290",03/08/2016,03/08/2036,"$403,064","$9,735","$98,332","-$294,997"
495 TN PARTNERS,11 TENNESSEE,ICC07630000000,209200000310,07/16/2018,03/08/2036,"$240,021","$5,147","$58,719","-$176,156"
"555 LEDIC MANAGEMENT GROUP, LLC",6111 RIDGEWAY,IHE0005C000000,"09340000002540, 09340000002550",10/01/2018,09/30/2028,"$193,319","$63,746",$0,"-$129,574"
66 SOUTH MAIN LP,66 MAIN,ICC07210000000,205600000100,07/31/2007,07/31/2022,"$9,207",$664,"$1,171","-$7,372"
