Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
RIVERBLUFF COOPERATIVE,333 TENNESSEE,ICC00110000000,0020740000002C,11/30/1981,11/30/2080,"$162,735","$101,709",$0,"-$61,026"
"COTTON EXCHANGE BLDG, A LIMITED PARTNERSHIP",65 UNION,ICC00270000000,204200000290,12/01/1983,01/01/2024,"$57,526","$7,320",$0,"-$50,206"
THREE SISTERS LTD,61 MAIN,ICC00290000000,"00203900000140, 00203900000150, 00203900000160",12/23/1983,12/30/2025,"$62,878","$15,029",$0,"-$47,849"
RAYMOND JAMES TOWER - MORGAN KEEGAN,50 FRONT,ICC00410000000,200600000240,12/27/1984,12/27/2024,"$162,720","$6,113",$0,"-$156,607"
MAIN MONROE HOSPITALITY 2018 - MEMPHIS HOTEL PROPCO LLC,110 MONROE,ICC00450000000,205700000090,12/31/1984,12/31/2025,"$115,157","$2,691",$0,"-$112,466"
SUNA WINCHESTER BUILDING LLC,179 MADISON,ICC00470000000,"00206000000010, 0020600000001Z",12/28/1984,12/28/2024,"$63,695","$2,215",$0,"-$61,480"
OLYMBEC USA - SANDERLIN PLACE,80 MONROE,ICC00480000000,"0020380000008C, 0020380000011C",12/31/1984,12/31/2024,"$113,185","$11,528",$0,"-$101,657"
MEMPHIS 99 PARKING GARAGE LP,99 MAIN,ICC00500000000,200700000080,07/25/1985,07/24/2025,"$58,701","$30,240",$0,"-$28,461"
AUTOZONE INC,123 FRONT,ICC01050000000,0020440000004C,09/01/1993,09/01/2033,"$345,857","$12,885",$0,"-$332,973"
GAYOSO HOUSE LP,141 MAIN,ICC01130000000,"00204300000040, 00204300000100",12/21/1993,12/21/2023,"$106,286","$1,124",$0,"-$105,162"
PINCH PARTNERS INVESTMENT CO,326 MAIN R,ICC01140000000,102700000110,03/21/1994,03/21/2019,"$2,937","$2,034",$0,-$903
ISLAND PROPERTIES ASSOCIATES,715 HARBOR BEND,ICC02100000000,100100000550,10/27/1997,10/27/2028,"$22,374","$1,775",$0,"-$20,599"
"HOTEL PEABODY, LTD",149 UNION,ICC02120000000,"0020510A000010, 0020510A000020, 0020510A000030, 0020510A000040,",12/31/1997,12/31/2037,"$1,353,185","$366,471",$0,"-$986,714"
GATEWAY APARTMENTS LP,1045 JEFFERSON,ICC02130000000,0180620000004C,12/31/1997,12/31/2022,"$24,451","$4,339",$0,"-$20,112"
MARK S. GRAWEMEYER AND LESLIE E. SMITH,530 MAIN,ICC02140000000,211400000170,12/31/1997,12/31/2022,"$3,427",$496,$0,"-$2,930"
MARK S. GRAWEMEYER AND LESLIE E. SMITH,522 MAIN,ICC02150000000,211400000140,12/31/1997,12/31/2022,"$1,330",$548,$0,-$782
MARK S. GRAWEMEYER AND LESLIE E. SMITH,524 MAIN,ICC02160000000,211400000180,12/31/1997,12/31/2022,$644,$155,$0,-$490
MARK S. GRAWEMEYER AND LESLIE E. SMITH,0 CALHOUN,ICC02170000000,211400000160,12/31/1997,12/31/2022,$713,$37,$0,-$677
MARK S. GRAWEMEYER AND LESLIE E. SMITH,520 MAIN,ICC02180000000,211400000130,12/31/1997,12/31/2022,"$2,472",$738,$0,"-$1,734"
CARL WINFIELD - ROBERT LAMB SULLIVAN,107 MADISON,ICC02190000000,"0020570A000010, 0020570A000020, 0020570A000030",12/31/1997,12/31/2022,"$2,522",$427,$0,"-$2,095"
PHILIP WOODARD AND TERRY WOODARD,509 MAIN,ICC02210000000,0021070000012C,12/31/1997,12/31/2022,"$9,119",$814,$0,"-$8,306"
"MEMORY AUSTIN BISHOP - UNION MAIN HOLDINGS, LLC",77 MAIN,ICC02240000000,204200000050,12/31/1997,12/31/2025,"$25,464","$1,737",$0,"-$23,727"
ISLAND-HARBOR CORP,0 HARBOR TOWN,ICC02250000000,"00100100000610, 00100100000910, 00100100000920, 00100100000930, 00100100000940, 00100100000950, 0690770000013C,",11/01/1996,11/01/2021,"$451,819","$451,819",$0,$0
"Somera Road-Gibson Memphis, LLC",145 GEORGE W LEE AVE,ICC02280000000,0021280000026C,07/26/2019,02/03/2045,"$193,772","$74,859",$0,"-$118,914"
HOTEL MEMPHIS,250 N MAIN ST,ICC02290000000,"00102900000040, 00102900000050, 0010300000001L",04/14/1998,04/14/2023,"$607,721","$135,600",$0,"-$472,121"
PEABODY OFFICE TOWER,100 PEABODY,ICC02390000000,0020500A000010,09/12/1997,08/18/2034,"$161,513",$848,$0,"-$160,666"
PEABODY OFFICE TOWER LP,1 PEABODY,ICC02400000000,0020500A000020,09/12/1997,08/18/2034,"$18,984",$271,$0,"-$18,713"
PEABODY OFFICE TOWER LP,100 PEABODY,ICC02410000000,"0020500A000010, 0020500A000030, 0020500A000050",09/12/1997,08/19/2034,"$234,725",$24,$0,"-$234,701"
PEABODY PLACE-GOLD LP,123 MAIN,ICC02430000000,"00204300000010, 00204300000020, 00204300000030, 00204300000130",08/18/1994,08/18/2034,"$157,127","$4,296",$0,"-$152,831"
PEABODY PLACE-HAV LP,151 MAIN,ICC02440000000,0020430000006C,12/03/1994,08/18/2034,"$50,610",$831,$0,"-$49,779"
CP MEMPHIS LLC,300 SECOND,ICC03020000000,103400000030,08/31/1998,08/31/2031,"$135,102","$34,578",$0,"-$100,524"
APPLE NINE HOSPITALITY - HAMPTON INN,175 PEABODY,ICC03190000000,"00205100000190, 00205100000290",12/31/1998,12/31/2038,"$188,923","$3,071",$0,"-$185,852"
THOB LLC,505 TENNESSEE,ICC03200000000,0020830D000010,05/06/1999,05/05/2024,"$7,645","$7,735",$0,$89
EPHRAIM M UREVBU,410 MAIN,ICC03230000000,211700000080,08/31/1998,08/31/2023,"$5,157",$868,$0,"-$4,288"
MOORE BUILDING ASSOC LP,185 MONROE,ICC03250000000,0020630000001C,12/29/1998,12/31/2028,"$171,087","$7,797",$0,"-$163,290"
HERTZ MEMPHIS THREE LLC,195 MADISON,ICC03260000000,0020600000002C,12/29/1998,12/31/2028,"$62,678","$5,943",$0,"-$56,735"
MEMPHIS REDBIRDS BASEBALL,UNION & THIRD ST,ICC03800000000,"0020600000004C,00206000000120,00 50200000021C",12/01/1998,12/01/2028,"$63,449",$0.04,$-,"-$63,449"
KNICKERBOCKER PROPERTIES,75 MUD ISLAND ACCESS,ICC03830000000,6907700000420,01/13/2000,01/13/2040,"$523,575",$51,$0,"-$523,524"
FIELDERS SQUARE - FORUM RESIDENTIAL PARTNERS,41 FOURTH,ICC03850000000,"00206100000050, 0020610000006C, 00206100000240, 0050010000020C, 0050020000001C,",05/17/2000,05/17/2039,"$488,471","$33,992",$0,"-$454,479"
HARBOR TOWN CENTRE,113 HARBOR TOWN,ICC03860000000,"0010010S000010, 0010010S000020, 0010010S000030, 0010010S000050, 0010010S000060, 0010010S000070, 0010010S000080, 0010010S000130,",08/31/1998,08/31/2024,"$7,652",$469,$0,"-$7,183"
1 SOUTH MAIN LLC - WILMONT HOTEL LIMITED PARTNERSHIP,79 MADISON,ICC03900000000,"00203800000020, 00203800000030, 00203800000060, 00203800000070",08/02/2000,08/02/2024,"$240,731","$180,548",$0,"-$60,183"
9 SO. 2ND PROPERTIES LLC,21 SECOND,ICC03940000000,0020580000014C,02/17/1998,02/17/2034,"$54,201","$7,510",$0,"-$46,691"
"SOUTH BLUFFS, A JOINT VENTURE",605 RIENZI,ICC03950000000,"0020840D000080, 0020840D000090, 0020840D000100, 0020840D000110",04/29/1998,04/29/2024,"$76,657","$1,493",$0,"-$75,164"
KNICKERBOCKER PROPERTIES INC XXXIX,1300 ISLAND,ICC04120000000,6907700000260,04/25/2000,12/25/2022,"$273,726","$9,687",$0,"-$264,039"
PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY,160 N MAIN ST,ICC04190000000,0050050A000020,07/29/1999,07/29/2024,"$97,938",$0.04,$0,"-$97,938"
HOTEL PEABODY GP,150 PEABODY,ICC0419B000000,0050050A000010,07/29/1999,07/29/2024,"$66,182","$44,124",$0,"-$22,059"
PEABODY PLACE CENTER GP,150 PEABODY,ICC0419C000000,0050050A000030,07/29/1999,07/29/2024,"$28,476","$18,081",$0,"-$10,395"
BRISTOL APARTMENTS GENERAL PARTNERSHIP,1177 UNION,ICC05030000000,0180410000003C,03/15/2002,03/15/2022,"$286,197",$0,"$14,310","-$271,887"
"UPTOWN SQUARE APARTMENTS, LP",188 EXCHANGE,ICC05570000000,"00104200000040, 00112000000010",02/20/2003,02/20/2023,"$175,918","$3,755","$43,041","-$129,122"
