Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
SMITH & NEPHEW INC,3303 HOLMES,IDB07380000000,9410000003040,07/27/2007,12/31/2022,"$189,356","$8,783","$47,339","-$133,234"
RIVIANA FOODS INC,0 LAUDERDALE ST,IDB07590000000,"0490650000001C, 04906700000010, 04900400000090, 0490040000009Z,04900400000220, 0490650000001Z",12/28/2007,12/31/2019,"$247,301","$215,270","$5,811","-$26,219"
SMITH & NEPHEW INC,1450 BROOKS,IDB0760A000000,0007600000000D,12/31/2007,12/31/2021,"$6,214",$100,"$1,553","-$4,560"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0794A000000,0007940000000D,12/31/2008,12/31/2023,"$712,998",$100,"$178,250","-$534,649"
SMITH & NEPHEW INC,1450 BROOKS,IDB0804A000000,0008040000000D,12/31/2008,12/31/2023,"$26,295",$100,"$6,574","-$19,621"
SMITH & NEPHEW INC,1450 BROOKS,IDB0832A000000,0008320000000D,12/31/2009,12/31/2024,"$30,565",$100,"$7,641","-$22,824"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0833A000000,0008330000000D,12/31/2009,12/31/2024,"$52,153",$100,"$13,038","-$39,015"
"NIKE TN, INC",3100 NEW FRAYSER,IDB0838A000000,0008380000000D,12/31/2009,12/31/2023,"$22,295",$100,"$5,574","-$16,621"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS PKWY,IDB0852A000000,"0005820000000D, 0008520000000D",12/16/2010,12/31/2025,$149,$0,$37,-$112
LUCITE INTERNATIONAL INC,2665 FITE,IDB0853A000000,0008530000000D,12/16/2010,12/31/2025,"$16,148",$0,"$4,037","-$12,111"
PMC BIOGENIX INC,1285 POPE,IDB0855A000000,0008550000000D,12/17/2010,12/17/2022,"$11,937","$2,870","$2,870","-$6,197"
RIVIANA FOODS INC,2314 LAUDERDALE,IDB0858A000000,0008580000000D,12/31/2010,12/31/2022,"$42,735",$100,"$10,684","-$31,952"
MCKESSON CORPORATION,4836 SOUTHRIDGE,IDB0861A000000,0008610000000D,12/31/2010,12/31/2022,"$1,009",$100,$252,-$657
SMITH & NEPHEW INC,7135 GOODLETT FARMS,IDB08650000000,D020700000352C,12/31/2010,12/31/2025,"$387,116","$37,731","$96,779","-$252,607"
"KTG USA, LP",400 MAHANNAH,IDB08680000000,0390350000017C,08/16/2011,08/01/2023,"$149,069","$106,922","$37,267","-$4,880"
BLUES CITY BREWERY LLC,5151 RAINES,IDB08690000000,9340000006280,05/02/2011,05/02/2026,"$248,294","$20,640","$62,074","-$165,581"
BLUES CITY BREWERY LLC,5151 RAINES,IDB0879A000000,0008790000000D,05/02/2011,05/02/2026,$0,$100,"$24,734","$24,834"
TRANE US INC,5200 TRADEOIRT,IDB0882A000000,0008820000000D,12/31/2012,12/31/2020,$943,$100,$236,-$607
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0885A000000,0008850000000D,12/31/2012,12/31/2027,"$95,565",$100,"$23,891","-$71,574"
SMITH & NEPHEW INC,7135 GOODLETTS FARMS,IDB0888A000000,0008880000000D,12/31/2012,12/31/2027,"$16,673",$200,"$4,168","-$12,305"
LUCITE INTERNATIONAL INC,2665 FITE,IDB0890A000000,0008900000000D,12/31/2012,12/31/2027,"$2,522",$0,$631,"-$1,892"
LUCITE INTERNATIONAL INC,2665 FITE,IDB08910000000,D0135000004380,01/01/2012,12/31/2025,"$47,383","$38,081",$0,"-$9,302"
BLUES CITY BREWERY LLC,5151 RAINES,IDB0892A000000,0008920000000D,12/31/2012,12/31/2027,$837,$100,$209,-$528
"US FOODS, INC F/K/A US FOODSERVICE INC",5900 HOLMES,IDB0893A000000,0008930000000D,12/31/2012,12/31/2022,"$3,206",$100,$801,"-$2,304"
PRAXAIR INC,3587 PAUL R LOWRY RD,IDB0894A000000,0008940000000D,12/31/2012,12/31/2023,"$91,364",$100,"$22,841","-$68,423"
LOGICAL SYSTEMS LLC,2756 APPLING CENTER,IDB08980000000,"09200500000130, 09200500000140",01/01/2013,12/31/2022,"$39,953","$10,253","$9,988","-$19,711"
