Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
HILLCREST MEMPHIS LP,"4155 EAST WIND DR., #1",IHE0000A000000,0790040000001C,10/01/2008,09/30/2028,"$53,193","$16,412",$0,"-$36,781"
ALCO PERSHING PARTNERS LP,0 STEELE,IHE0000B000000,"07101400000950, 07101400000960",08/01/2008,12/31/2028,"$40,315","$14,754",$0,"-$25,562"
CROCKETT PARK (AGNES PLACE APARTMENTS),2645 DAVEY DRIVE,IHE0001B000000,"0710560A00016C, 0710560A00046Z",05/01/2005,05/01/2025,"$60,985",$187,$0,"-$60,797"
"UPTOWN VILLAGE APARTMENTS, LP",0 THOMAS,IHE0001L000000,"0010960A000960, 0010960A000970",03/05/2004,03/04/2024,"$48,181","$1,984",$0,"-$46,197"
"UPTOWN SENIOR HOUSING DEVELOPMENT, LP",669 THIRD,IHE0001R000000,"0010560000002C, 00105600000070",04/19/2006,04/18/2026,"$41,349","$2,175",$0,"-$39,174"
SUMMTI PARK TUP I LIMITED PARTNERSHIP,1791 RAINES,IHE0001U000000,7901300000660,02/01/2007,12/31/2026,"$94,448","$13,986",$0,"-$80,462"
ALCO ROLLING HILLS PARTNERS,2830 N WATKINS,IHE0001X000000,070080000057C,11/01/2006,12/31/2026,"$36,493","$20,894",$0,"-$15,598"
CREEKSIDE MEADOWNS ALCO GREENBRIAR PARTNERS LP,1146 DELLWOOD,IHE0001Y000000,7000130000000,11/01/2006,12/31/2026,"$63,542","$34,251",$0,"-$29,291"
APRIL WOODS II PROPERTY,281 BICKFORD AVENUE,IHE0002B000000,"02202800000020, 0220280000003C, 02202800000120, 02202800000200, 0601690A00001C, 0601690A000090,",01/03/2008,01/01/2028,"$83,299","$4,996",$0,"-$78,304"
LEGENDS PARK EAST LP,1003 NABOR,IHE0002J000000,"05101700000030, 05101700000040, 05101700000050, 05101700000060, 05101700000070, 05101700000120, 05101700000140, 05101700000180, 05101700000190, 05101700000200,",08/28/2008,08/27/2028,"$401,124",$834,$0,"-$400,290"
