Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
MICROPORT ORTHOPEDICS INC,11481 GULF STREAM,IDB0000A000090,A0141000001560,10/29/2009,10/28/2020,"$3,729","$3,729",$0,$0
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00010A,3000100000000D,12/31/2010,12/31/2021,"$24,914","$24,914",$0,$0
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00012A,3000120000000D,12/31/2014,12/31/2029,"$6,733",$100,"$1,683","-$4,949"
"WRIGHT MEDICAL TECHNOLOGY, INC",0 MEMPHIS-ARLINGTON,IDB0000A000140,A0141L0A000040,12/31/2014,12/31/2024,"$62,901","$62,901",$0,$0
"WRIGHT MEDICAL TECHNOLOGY, INC",11576 MEMPHIS-ARLINGTON,IDB0000A00015A,3000150000000D,12/31/2014,12/31/2024,"$12,884","$12,884",$0,$0
MICROPORT ORTHOPEDICS INC,5640 & 5650 AIRLINE,IDB0000A000160,"A0142000004050 ,A0142000007860",12/31/2014,12/31/2028,"$85,273","$8,579","$21,318","-$55,376"
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00017A,3000170000000D,12/31/2015,12/31/2030,"$7,548",$100,"$1,887","-$5,561"
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00018A,3000180000000D,12/31/2016,12/31/2031,"$11,473",$100,"$2,868","-$8,505"
HMD WRIGHT LLC,0 MEMPHIS-ARLINGTON,IDB0000A000190,A0141L0A000340,05/01/2019,05/01/2029,"$85,222","$2,796","$21,305","-$61,121"
"WRIGHT MEDICAL TECHNOLOGY, INC",11576 MEMPHIS ARLINGTON,IDB0000A00020A,3000160000000D,12/31/2015,12/31/2025,"$1,240",$100,$310,-$830
