Board,Owner,Delinquent Years,Amount Due,Parcel No,PILOT Terminated
BARLETT INDUSTRIAL DEVELOPMENT BOARD,,,,,
COLLIERVILLE INDUSTRIAL DEVELOPMENT BOARD,"SHELBY GROUP INTERNATIONAL, INC",2022,"1,842.58",IDB0000C00015A,NO
GERMANTOWN INDUSTRIAL DEVELOPMENT BOARD,,,,,
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,AESTHETIC MANAGEMENT PARTNERS INC,2022,"10,558.52",IDB18370000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,"AGILENT TECHNOLOGIES, INC",2022,"3,757.41",IDB1775A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,ARVATO,2022,"89,622.82",IDB07380000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,"A-Z LRC, 1, LLC",2022,"69,549.13",IDB18360000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,COGNATE BIOSERVICES INC.,2022,"2,101.15",IDB1831A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,DAYCO PRODUCTS,2022,101.5,IDB1040A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,EVERGREEN PACKAGING INC,2022,"15,105.77",IDB14300000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,FEDEX SUPPLYCHAIN SYSTEM INC,2022,"183,796.17",IDB11700000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,FRANKLIN SPORTS INC,2022,203.09,IDB1719A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,FRANKLIN SPORTS INC,2022,369.03,IDB1780A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,"IMPACT INNOVATIONS, INC",2022,"4,802.24",IDB1736A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,INTERNATIONAL PAPER,2022,"15,840.24",IDB18500000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,LUCITE INTERNATIONAL INC,2022,462.96,IDB1756A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,OLYMBEC USA LLC,2022,"16,824.48",IDB17980000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,ONYX MEDICAL LLC,2022,"37,865.08",IDB17690000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,ONYX MEDICAL LLC,2022,"3,901.41",IDB1833A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,PENN A KEM LLC,2022,"9,795.58",IDB1829A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,PEROXYCHEM LLC,2022,"8,685.65",IDB1774A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,PEROXYCHEM LLC,2022,"32,226.55",IDB18050000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,"PRIMACY PROPERTY LEASING MEMPHIS, LLC",2022,"57,637.70",IDB18350000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,RBM CHERRY ROAD PARTNERS,2022,"11,814.73",IDB09330000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,"TAG AMERICAN WAY REAL ESTATE, LLC",2022,584,IDB1836A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,UBIQUITI INC,2022,"3,407.73",IDB1832A000000,NO
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,WATER TO WINE,2022,2120.51,IDB18480000000,NO
County Attorney,,,,,
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",APPLEWOOD PROPERTY MANAGEMENT,2021-2022,"6 1,283.85",IHE0007D000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",APRIL WOODS II PROPERTY,2022,"5,070.50",IHE0002B000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS","CAVELIER COURT TN TC, LP",2022,"1 6,821.63",IHE0004Z000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",FEELS LIKE HOME SENIOR RESIDENCES,2020-2022,"5 5,405.05",IHE0005O000000,NO
